availableText,itemLocation,itemNumber,lastUpdated,priceWithCurrency,seller,sold,title,subTitle,type
,"Pennsauken, New Jersey, United States",156111866779,"Mar 11, 2024 07:21:16 PDT","US $2,350.00",Style in Class,,BALL ⌀40mm Roadmaster Challenger Moonphase Ceramic 1000 Limited DM3130B-S13J-BE,,Wristwatch
2 available / 7 sold,"NY, United States",325918933362,"Mar 21, 2024 17:02:29 PDT","US $1,250.00/ea",Sigmatime,7.0,Paul Picot Men's 'Yachtman III' Blue Dial Automatic P1151.SGB.2614CM010,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293592206,"Mar 21, 2024 11:58:50 PDT",US $747.50,Direct Luxury,1.0,Versace Mens  Gold 46mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available / 13 sold,,335067320306,"Mar 29, 2024 08:54:36 PDT",US $539.99,WATCHGOOROO,13.0,Tissot Men's T0356143605100 Couturier Automatic Watch,,Wristwatch
,"Fairfield, New Jersey, United States",335290985725,"Mar 29, 2024 08:54:35 PDT","US $3,659.99",WATCHGOOROO,,Glashutte Men's 1-39-59-01-02-04 Senator Auto 40mm Automatic Watch,,Watches
Last One / 1 sold,"Fairfield, New Jersey, United States",335196618913,"Mar 29, 2024 08:54:35 PDT",US $579.99,WATCHGOOROO,1.0,Edox Men 80120-3NCA-NIN SkyDiver 44mm Automatic Watch,,Wristwatch
Last One / 1 sold,"Fairfield, New Jersey, United States",335196617716,"Mar 29, 2024 08:54:35 PDT",US $644.99,WATCHGOOROO,1.0,Edox Men 80120-357JM-NID Neptunian 44mm Automatic Watch,,Wristwatch
More than 10 available / 10 sold,"Monsey, New York, United States",255572138284,"Apr 01, 2024 13:55:29 PDT",US $550.00,Watch County,10.0,Gevril Men's 15000-7 Avenue of America Swiss Automatic Sellita Brown Strap Watch,,Wristwatch
3 available / 19 sold,"Brooklyn, New York, United States",324750586023,"Mar 23, 2024 16:19:13 PDT",US $579.00/ea,Sigmatime,19.0,Revue Thommen Men's Diver Blue Dial Stainless Steel Automatic Watch 17571.2128,,Wristwatch
2 available / 8 sold,"Hong Kong, Hong Kong",304842018599,"Mar 14, 2024 19:57:58 PDT",US $724.99,Citiwide Store,8.0,Seiko Presage Sharp Edged Series Automatic Watch SARX089 / SPB227J1 US*us,,Wristwatch
6 available / 12 sold,"Los Angeles, California, United States",264597864766,"Apr 01, 2024 09:01:08 PDT","US $1,879.99",Direct Source G&D,12.0,"Men's 10k Yellow Gold Watch Link Band Geneve Wrist Watch 6.5""-7"" 43 grams",,Wristwatch
5 available / 2 sold,"Fairfield, New Jersey, United States",335111312960,"Mar 29, 2024 08:54:35 PDT",US $649.99,WATCHGOOROO,2.0,Hamilton Men's H32695131 Jazzmaster 42mm Automatic Watch,,Wristwatch
5 available / 3 sold,"NY, United States",204645239682,"Mar 30, 2024 12:34:52 PDT",US $575.00,Sigmatime,3.0,Frederique Constant Women's 'Slim Line' Moonphase MOP Dial Watch FC-206MPWD1S6,,Wristwatch
,"Hong Kong, Hong Kong",145677975697,,US $799.00,ioomobile,,CITIZEN x EVANGELION JY8139-68E EVA-02 Eco-Drive Radio-Controlled LIMITED Watch,,Wristwatch
More than 10 available,"Monsey, New York, United States",256416975311,"Mar 19, 2024 18:06:22 PDT",US $675.00,Watch County,,Gevril Men's 4859A Wall Street Sellita Swiss Automatic Green Ceramic Bezel Watch,,Wristwatch
More than 10 available,"Fairfield, New Jersey, United States",335313682563,"Mar 29, 2024 08:54:36 PDT",US $529.00,WATCHGOOROO,,Glycine Men's Combat Sub GMT 42mm Automatic Watch GL0422,,Wristwatch
5 available / 7 sold,"Fairfield, New Jersey, United States",335077336991,"Mar 29, 2024 08:54:35 PDT",US $549.00,WATCHGOOROO,7.0,Glycine Men's GL0376 Airman Vintage Noon 40mm Automatic Watch,,Wristwatch
5 available / 5 sold,"Fairfield, New Jersey, United States",335077519289,"Mar 29, 2024 08:54:36 PDT",US $599.00,WATCHGOOROO,5.0,Glycine Men's GL0464 Airman Vintage The Chief 40mm Automatic Watch,,Wristwatch
Last One / 1 sold,"Fairfield, New Jersey, United States",335196628959,"Mar 29, 2024 08:54:35 PDT",US $824.99,WATCHGOOROO,1.0,Edox Men 80128-3BUM-BUIO Hydro-sub 42mm Automatic Watch,,Wristwatch
3 available,"Fairfield, New Jersey, United States",335196793616,"Mar 29, 2024 08:54:35 PDT",US $514.99,WATCHGOOROO,,Edox Men 88008-3GCA-BGO Delfin The Original 43mm Automatic Watch,,Wristwatch
2 available / 27 sold,"Hong Kong, Hong Kong",125164229915,"Apr 01, 2024 19:09:37 PDT",US $594.88,Citiwide Store,27.0,Seiko SBDC091/ SPB121J1 Automatic Mens Watch + Worldwide Warranty US*4,,Wristwatch
,,166601204879,"Feb 15, 2024 20:18:48 PST","US $1,720.00",Style in Class,,Ball Ø 46mm Engineer Master II Aviator 46mm day date gas tubes NM1080C-S13-BK,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293592519,"Mar 21, 2024 11:59:53 PDT",US $547.50,Direct Luxury,1.0,Ferragamo Mens Ferragamo Classic Gold 42mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
2 available / 1 sold,"Fairfield, New Jersey, United States",335196682150,"Mar 29, 2024 08:54:35 PDT",US $564.99,WATCHGOOROO,1.0,Edox Men 10242-TIN-NIN CO-1 45mm Quartz Watch,,Wristwatch
More than 10 available / 79 sold,"Monsey, New York, United States",255241404122,"Mar 28, 2024 09:32:02 PDT",US $650.00,Watch County,79.0,GV2 by Gevril Women's 12114B Milan Swiss Quartz IPRG 2-Tone Steel Diamond Watch,,Wristwatch
3 available / 13 sold,"Brooklyn, New York, United States",192955203003,"Mar 29, 2024 11:50:37 PDT",US $579.00,Sigmatime,13.0,Revue Thommen Men's Diver Silver Dial Stainless Steel Automatic Watch 17571.2124,,Wristwatch
4 available / 7 sold,,334715940432,"Mar 30, 2024 10:13:21 PDT",US $599.00,WATCHGOOROO,7.0,Glycine Men's GL0473 Airman Vintage 40mm Automatic Watch,,Watches
More than 10 available / 8 sold,,274880934415,"Mar 26, 2024 07:40:07 PDT",US $549.00,Watch County,8.0,GV2 by Gevril Men's 18110 Potente Skeletal Swiss Automatic Steel Bracelet Watch,,Wristwatch
More than 10 available,,196293471777,,US $822.50,Direct Luxury,,Versace Mens V-Palazzo IP Yellow Gold 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
Last One / 14 sold,"NY, United States",195446672670,"Apr 01, 2024 09:54:10 PDT",US $950.00,Sigmatime,14.0,Revue Thommen Men's 'Diver' GMT Black Dial Blue & Red Bezel Watch 17572.2235,,Wristwatch
More than 10 available,,196293471882,,US $697.50,Direct Luxury,,Versace Mens Greca Reaction IP Gunmetal 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293592144,"Mar 21, 2024 11:58:23 PDT",US $906.50,Direct Luxury,,Versace Mens Hellenyium Two Tone 44mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293592676,"Mar 21, 2024 12:00:02 PDT",US $747.50,Direct Luxury,,Ferragamo Mens Ferragamo Tonneau Chrono Rosegold 42mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293471873,,US $647.50,Direct Luxury,,Ferragamo Mens  Stainless Steel 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293471810,,"US $1,497.50",Direct Luxury,,Versace Womens DV One Pink Ceramic 40mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
5 available,"Seal Beach, California, United States",196293592429,"Mar 18, 2024 16:39:41 PDT",US $625.00,Direct Luxury,,Philipp Plein Mens The $keleton IP Yellow Gold 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293592617,"Mar 21, 2024 11:59:53 PDT",US $547.50,Direct Luxury,,Versace Mens Icon Active Transparent Black 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293592720,"Mar 21, 2024 11:59:59 PDT",US $672.50,Direct Luxury,,Ferragamo Mens Ferragamo 1927 Gold 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
,"Hong Kong, Hong Kong",145222075326,"Aug 28, 2023 05:54:29 PDT",US $945.00,ioomobile,,SQUALE 1521 Classic Mesh 1521CL.ME20 Black Dial 500M SWISS MADE Men Diver Watch,,Wristwatch
,"Seal Beach, California, United States",196293592416,"Mar 15, 2024 06:16:03 PDT",US $581.00,Direct Luxury,,Missoni Mens Missoni GMT Traveller Stainless Steel 43mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293592650,"Mar 21, 2024 11:58:24 PDT",US $750.00,Direct Luxury,,Philipp Plein Mens Octagon Gold 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
2 available / 2 sold,"Fairfield, New Jersey, United States",335077518306,"Mar 31, 2024 22:47:47 PDT",US $549.00,WATCHGOOROO,2.0,Glycine Men's GL0410 Airman Vintage The Chief Purist 40mm Automatic Watch,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293592208,"Mar 29, 2024 08:40:16 PDT",US $836.50,Direct Luxury,1.0,Ferragamo Mens Idillio Gold 42mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293471737,,US $697.50,Direct Luxury,,Ferragamo Mens  Rosegold 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293471874,,US $847.50,Direct Luxury,,Versace Womens Medusa Infinite IP Yellow Gold 38mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293471853,,US $672.50,Direct Luxury,,Ferragamo Womens Ferragamo Duo Two Tone 28mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available / 1 sold,,196293592302,"Mar 21, 2024 11:59:34 PDT",US $647.50,Direct Luxury,1.0,Ferragamo Mens Ferragamo Master Chrono Two Tone 43mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
7 available / 2 sold,"Los Angeles, California, United States",265979992255,"Apr 01, 2024 09:01:07 PDT","US $3,013.66",Direct Source G&D,2.0,"14k Yellow Gold Watch Link Band Geneve Diamond Wrist Watch 8-8.5"" 60 grams",,Wristwatch
,,145590404612,,US $585.00,ioomobile,,CITIZEN PROMASTER SKY Blue Angels JY8125-54L Chronograph Blue Dial Men's Watch,,Wristwatch
Last One / 238 sold,"Hong Kong, Hong Kong",130773267302,"Mar 26, 2024 20:45:18 PDT",US $915.00,ioomobile,238.0,SEIKO PROSPEX SPB143J1 1965 Dive Style Remake Automatic Men Watch MADE IN JAPAN,,Wristwatch
2 available,"Fairfield, New Jersey, United States",335287668988,"Mar 29, 2024 08:54:36 PDT",US $909.99,WATCHGOOROO,,Hamilton Men's Jazzmaster 42mm Automatic Watch H32586511,,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293471923,,US $599.00,Direct Luxury,,Versace Womens Greca Chrono Two Tone 40mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
9 available / 10 sold,,264846782820,"Apr 01, 2024 09:01:06 PDT","US $1,496.83",Direct Source G&D,10.0,"Women's Geneve 14k Yellow Gold Diamond Bezel Nugget Wrist Watch 6.5-7"" 29.8grams",,Wristwatch
Last One / 1 sold,"Hong Kong, Hong Kong",145289335795,"Feb 24, 2024 13:50:42 PST",US $565.00,ioomobile,1.0,VENEZIANICO NEREIDE GMT Rosa 3521506C Automatic Pink Dial 20ATM Men Diver Watch,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293471741,,US $922.50,Direct Luxury,1.0,Ferragamo Mens F-80 Titanium 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
9 available,"Seal Beach, California, United States",196293592402,"Apr 01, 2024 14:10:06 PDT",US $519.00,Direct Luxury,,Ferragamo Mens Ferragamo 1898 Multi 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
3 available / 11 sold,"Fairfield, New Jersey, United States",334444340564,"Mar 29, 2024 08:54:36 PDT",US $834.99,WATCHGOOROO,11.0,Hamilton Men's Jazzmaster Maestro H32766643 45mm Automatic Watch,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293592102,"Mar 21, 2024 11:59:11 PDT",US $697.50,Direct Luxury,1.0,Ferragamo Mens Ferragamo 1898 Multi 44mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
Last One / 1 sold,"Fairfield, New Jersey, United States",335214658298,"Mar 29, 2024 08:54:35 PDT","US $3,339.99",WATCHGOOROO,1.0,Gevril Men's A508ANAA-AN-BMA5 Tribeca 36.7mm Automatic Watch,,Wristwatch
5 available / 3 sold,"Los Angeles, California, United States",266269095074,"Apr 01, 2024 09:01:07 PDT","US $2,662.12",Direct Source G&D,3.0,"14k Yellow Gold Nugget Link Wrist Band Geneve Diamond Watch 7-7.5"" 53 grams",,Wristwatch
Last One / 1 sold,,196293592136,"Mar 19, 2024 05:03:40 PDT",US $699.00,Direct Luxury,1.0,Versace Mens Sport Tech IP Yellow Gold 45mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
6 available,,196293592621,"Mar 21, 2024 13:13:28 PDT",US $747.50,Direct Luxury,,Versace Mens Greca Glam IP Yellow Gold 40mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
,,335196629955,"Mar 29, 2024 08:54:35 PDT",US $764.99,WATCHGOOROO,,Edox Men 80128-3NM-GINO Hydro-sub 42mm Automatic Watch,,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293592769,"Mar 21, 2024 12:00:02 PDT",US $672.50,Direct Luxury,,Ferragamo Mens Ferragamo 1927 Rose Gold 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293471775,,US $693.99,Direct Luxury,,Ferragamo Mens  Stainless Steel 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
4 available / 7 sold,"Fairfield, New Jersey, United States",333784816060,"Mar 30, 2024 17:35:10 PDT",US $529.99,WATCHGOOROO,7.0,Hamilton Men's Jazzmaster H42725551 44mm Automatic Watch,,Watches
More than 10 available,"Fairfield, New Jersey, United States",335313683253,"Mar 29, 2024 08:54:35 PDT",US $529.00,WATCHGOOROO,,Glycine Men's Combat Sub GMT 42mm Automatic Watch GL0423,,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293471872,,US $547.50,Direct Luxury,,Ferragamo Mens Ferragamo 1898 Stainless Steel 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
,"Hong Kong, Hong Kong",145150033686,"Jul 19, 2023 18:43:49 PDT",US $945.00,ioomobile,,SQUALE 1521 Pvd Leather 1521PVD.PC Black Dial 500M SWISS MADE Men's Diver Watch,,Wristwatch
More than 10 available,,196293471828,,US $820.00,Direct Luxury,,Philipp Plein Mens The $keleton Black 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,,196293471830,,US $699.00,Direct Luxury,,Versace Mens  Black 46mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
Last One / 2 sold,"Hong Kong, Hong Kong",134762145327,"Dec 26, 2023 03:12:10 PST",US $525.00,ioomobile,2.0,CITIZEN PROMASTER SKY PMV65-2271 Eco-Drive Chronograph World Time Titanium Watch,,Wristwatch
3 available,"Fairfield, New Jersey, United States",335196793454,"Mar 29, 2024 08:54:35 PDT",US $514.99,WATCHGOOROO,,Edox Men 88008-3CA-BUIN Delfin The Original 43mm Automatic Watch,,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293592581,"Mar 21, 2024 11:58:41 PDT",US $769.00,Direct Luxury,,Versace Mens  Stainless Steel 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available / 2 sold,"Seal Beach, California, United States",196293471869,,US $559.99,Direct Luxury,2.0,Versace Womens Palazzo Empire Gold 39mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
Last One / 68 sold,"Hong Kong, Hong Kong",131323722915,"Mar 10, 2024 10:32:47 PDT",US $525.00,ioomobile,68.0,Seiko Presage Style60's SRPK61J1 60th Anniversary Automatic Watch Limited 5000,,Wristwatch
More than 10 available / 1 sold,"Seal Beach, California, United States",196293592644,"Mar 30, 2024 08:57:58 PDT",US $797.50,Direct Luxury,1.0,Versace Mens  Gold 43mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
More than 10 available,"Seal Beach, California, United States",196293592607,"Mar 21, 2024 11:59:31 PDT",US $950.00,Direct Luxury,,Philipp Plein Mens The $keleton Stainless Steel 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
,"Pennsauken, New Jersey, United States",155522322299,"Mar 13, 2024 23:46:15 PDT","US $2,070.00",Style in Class,,BALL Ø42mm Engineer II Skindiver Heritage DM3208B-P4-BK rainbow tube rubber band,,Wristwatch
3 available / 3 sold,,335019215226,"Mar 29, 2024 08:54:36 PDT",US $729.00,WATCHGOOROO,3.0,Baume and Mercier Women's M0A10296 Classima 36.5mm Automatic Watch,,Watches
9 available / 2 sold,,264523290461,"Apr 01, 2024 09:01:09 PDT","US $2,360.80",Direct Source G&D,2.0,"10k Yellow Gold Nugget Link Geneve Wrist Watch Adjustable 8-8.5"" 54 grams",,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293471854,,US $697.50,Direct Luxury,,Ferragamo Mens Ferragamo 1898 Stainless Steel 44mm Bracelet Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
5 available / 3 sold,"Fairfield, New Jersey, United States",335132987555,"Mar 29, 2024 08:54:35 PDT",US $549.00,WATCHGOOROO,3.0,Glycine Men's GL0378 Airman Vintage Noon Antique Bronze Tone 40mm Fabric Strap,,Wristwatch
Last One / 72 sold,"Hong Kong, Hong Kong",142550565334,"Dec 01, 2023 10:40:48 PST",US $829.99,ioomobile,72.0,SEIKO Prospex SPB313J1 Heritage Turtle 1968 Re-Issue Automatic 200M Diver Watch,,Wristwatch
,"Fairfield, New Jersey, United States",335287676410,"Mar 29, 2024 08:54:35 PDT",US $674.99,WATCHGOOROO,,Hamilton Men's Khaki Aviation 40mm Quartz Watch H64554331,,Wristwatch
5 available / 2 sold,,335150139671,"Mar 29, 2024 08:54:35 PDT",US $599.00,WATCHGOOROO,2.0,Glycine Men's GL0466 Airman Vintage 40mm Automatic Watch,,Wristwatch
5 available,"Fairfield, New Jersey, United States",335255205957,"Mar 29, 2024 08:54:35 PDT",US $519.99,WATCHGOOROO,,Hamilton Men's Jazzmaster 42mm Automatic Watch H89545721,,Wristwatch
More than 10 available,"Seal Beach, California, United States",196293592823,"Mar 21, 2024 11:59:07 PDT",US $500.00,Direct Luxury,,Philipp Plein Mens The $kull Black 44mm Strap Fashion Watch,"100% New, Authentic Luxury from Direct Luxury",Watches
,"Hong Kong, Hong Kong",145516224891,,US $730.00,ioomobile,,SEIKO Presage Sharp Edged SARX079 SPB169J1 Automatic Green Dial JAPAN Men Watch,,Wristwatch
